caseidx,PhoneNumber,Trt,MobileCredit,Wave
406,PII,2,20GHS,1
1606,PII,2,20GHS,1
1610,PII,2,20GHS,1
2108,PII,2,20GHS,1
2210,PII,2,20GHS,1
2404,PII,2,20GHS,1
2501,PII,2,20GHS,1
2607,PII,2,20GHS,1
2910,PII,2,20GHS,1
3002,PII,2,20GHS,1
3005,PII,2,20GHS,1
3412,PII,2,20GHS,1
4309,PII,2,20GHS,1
4405,PII,2,20GHS,1
4702,PII,2,20GHS,1
4901,PII,2,20GHS,1
5114,PII,2,20GHS,1
5513,PII,2,20GHS,1
6402,PII,2,20GHS,1
6404,PII,2,20GHS,1
6705,PII,2,20GHS,1
7004,PII,2,20GHS,1
7111,PII,2,20GHS,1
7515,PII,2,20GHS,1
7914,PII,2,20GHS,1
8101,PII,2,20GHS,1
8212,PII,2,20GHS,1
8301,PII,2,20GHS,1
8502,PII,2,20GHS,1
8601,PII,2,20GHS,1
8903,PII,2,20GHS,1
9113,PII,2,20GHS,1
10003,PII,2,20GHS,1
10011,PII,2,20GHS,1
10306,PII,2,20GHS,1
10406,PII,2,20GHS,1
10506,PII,2,20GHS,1
10715,PII,2,20GHS,1
10915,PII,2,20GHS,1
11202,PII,2,20GHS,1
11307,PII,2,20GHS,1
11613,PII,2,20GHS,1
11701,PII,2,20GHS,1
11705,PII,2,20GHS,1
12007,PII,2,20GHS,1
12109,PII,2,20GHS,1
12311,PII,2,20GHS,1
12703,PII,2,20GHS,1
12913,PII,2,20GHS,1
13005,PII,2,20GHS,1
13111,PII,2,20GHS,1
13309,PII,2,20GHS,1
13406,PII,2,20GHS,1
13611,PII,2,20GHS,1
13702,PII,2,20GHS,1
13913,PII,2,20GHS,1
14202,PII,2,20GHS,1
14213,PII,2,20GHS,1
14809,PII,2,20GHS,1
15111,PII,2,20GHS,1
15402,PII,2,20GHS,1
15404,PII,2,20GHS,1
15413,PII,2,20GHS,1
15803,PII,2,20GHS,1
16015,PII,2,20GHS,1
16213,PII,2,20GHS,1
16302,PII,2,20GHS,1
16803,PII,2,20GHS,1
16915,PII,2,20GHS,1
17214,PII,2,20GHS,1
17403,PII,2,20GHS,1
17510,PII,2,20GHS,1
17805,PII,2,20GHS,1
17807,PII,2,20GHS,1
17809,PII,2,20GHS,1
18008,PII,2,20GHS,1
18113,PII,2,20GHS,1
18207,PII,2,20GHS,1
18709,PII,2,20GHS,1
19003,PII,2,20GHS,1
20102,PII,2,20GHS,1
20105,PII,2,20GHS,1
20111,PII,2,20GHS,1
20214,PII,2,20GHS,1
20901,PII,2,20GHS,1
21214,PII,2,20GHS,1
21708,PII,2,20GHS,1
22406,PII,2,20GHS,1
22604,PII,2,20GHS,1
22607,PII,2,20GHS,1
22609,PII,2,20GHS,1
23015,PII,2,20GHS,1
23210,PII,2,20GHS,1
