caseidx,PhoneNumber,Trt,MobileCredit,Wave
406,541441764/,2,20GHS,2
1606,243162822,2,20GHS,2
1610,209611140/,2,20GHS,2
2108,241649543/,2,20GHS,2
2210,275571289,2,20GHS,2
2404,243083129/,2,20GHS,2
2501,276207232/,2,20GHS,2
2607,272542842/,2,20GHS,2
2910,276791555/,2,20GHS,2
3002,246092852/,2,20GHS,2
3005,242214191,2,20GHS,2
3412,208031700/,2,20GHS,2
4309,240044108/,2,20GHS,2
4405,241157800/,2,20GHS,2
4702,241811336/,2,20GHS,2
4901,246999359/,2,20GHS,2
5114,549083805/,2,20GHS,2
5513,248644951/,2,20GHS,2
6402,248313495/,2,20GHS,2
6404,553155532/,2,20GHS,2
6705,547490137/,2,20GHS,2
7004,541666554/,2,20GHS,2
7111,245159121,2,20GHS,2
7515,241033967/,2,20GHS,2
7914,242787012/,2,20GHS,2
8101,247247695/,2,20GHS,2
8212,556717790/,2,20GHS,2
8301,500546723/,2,20GHS,2
8502,246418357/,2,20GHS,2
8601,241789628/,2,20GHS,2
8903,548063829/,2,20GHS,2
9113,543113325/,2,20GHS,2
10003,243308864/,2,20GHS,2
10011,503135954/,2,20GHS,2
10306,247731648/,2,20GHS,2
10406,242583476,2,20GHS,2
10506,241902479/,2,20GHS,2
10715,554623419/,2,20GHS,2
10915,247574301/,2,20GHS,2
11202,542334343/,2,20GHS,2
11307,243269532,2,20GHS,2
11613,547884787/,2,20GHS,2
11701,275217032/,2,20GHS,2
11705,247657186/,2,20GHS,2
12007,245440144/,2,20GHS,2
12109,249012347,2,20GHS,2
12311,244145551/,2,20GHS,2
12703,244745238/,2,20GHS,2
12913,242128559/,2,20GHS,2
13005,240919418,2,20GHS,2
13111,245856120/,2,20GHS,2
13309,249979454/,2,20GHS,2
13406,248945327/,2,20GHS,2
13611,545313005/,2,20GHS,2
13702,542789372,2,20GHS,2
13913,240861760,2,20GHS,2
14202,546020778/,2,20GHS,2
14213,244101237/,2,20GHS,2
14809,241906013/,2,20GHS,2
15111,248024979/,2,20GHS,2
15402,547360194/,2,20GHS,2
15404,544036446/,2,20GHS,2
15413,242163849,2,20GHS,2
15803,272123802/,2,20GHS,2
16015,240210726/,2,20GHS,2
16213,243272034/,2,20GHS,2
16302,541893679/,2,20GHS,2
16803,541961399/,2,20GHS,2
16915,548423112/,2,20GHS,2
17214,241432609/,2,20GHS,2
17403,249461095/,2,20GHS,2
17510,247973146/,2,20GHS,2
17805,546521955/,2,20GHS,2
17807,248024992/,2,20GHS,2
17809,205807869/,2,20GHS,2
18008,244948519/,2,20GHS,2
18113,201315442/,2,20GHS,2
18207,542528311/,2,20GHS,2
18709,246904486/,2,20GHS,2
19003,544881505/,2,20GHS,2
20102,240972067/,2,20GHS,2
20105,249767245/,2,20GHS,2
20111,243974642/,2,20GHS,2
20214,249931509,2,20GHS,2
20901,265827282/,2,20GHS,2
21214,249289383/,2,20GHS,2
21708,208405447/,2,20GHS,2
22406,276266353/,2,20GHS,2
22604,246533727,2,20GHS,2
22607,243382201/,2,20GHS,2
22609,279057786/,2,20GHS,2
23015,276764438/,2,20GHS,2
23210,245784633/,2,20GHS,2
23314,206749970/,2,20GHS,2
23708,249427694,2,20GHS,2
24012,547901777/,2,20GHS,2
24408,273011749/,2,20GHS,2
24409,246993188/,2,20GHS,2
24602,243743100/,2,20GHS,2
24801,248000033/,2,20GHS,2
25414,244218116/,2,20GHS,2
25515,244361099/,2,20GHS,2
26007,271085524/,2,20GHS,2
26208,246517414/,2,20GHS,2
26211,246160428,2,20GHS,2
26307,242061818,2,20GHS,2
26405,244256084/,2,20GHS,2
26706,249907273/,2,20GHS,2
26910,245082284/,2,20GHS,2
27103,246816002/,2,20GHS,2
27203,243454307/,2,20GHS,2
27611,244580824/,2,20GHS,2
28109,242338017/,2,20GHS,2
28213,546492089/,2,20GHS,2
28315,276006300/,2,20GHS,2
28715,243666893/,2,20GHS,2
28907,242859028/,2,20GHS,2
29104,546205339/,2,20GHS,2
29512,244556641/,2,20GHS,2
29605,249067579/,2,20GHS,2
29714,541780450/,2,20GHS,2
29803,247613026/,2,20GHS,2
30106,248712799/,2,20GHS,2
30606,249874895/,2,20GHS,2
30614,240100092/,2,20GHS,2
30803,541447065/,2,20GHS,2
30915,546071735,2,20GHS,2
31109,240632144/,2,20GHS,2
31202,548196411,2,20GHS,2
31504,243524648,2,20GHS,2
31703,243348662,2,20GHS,2
31710,246153113,2,20GHS,2
31903,208221316,2,20GHS,2
32001,243132263/,2,20GHS,2
32007,247477983/,2,20GHS,2
32013,244932423/,2,20GHS,2
32601,209612810/,2,20GHS,2
32606,245104897/,2,20GHS,2
32714,242057205/,2,20GHS,2
32801,246443475/,2,20GHS,2
32803,548632057/,2,20GHS,2
33402,543018276/,2,20GHS,2
33506,547335496/,2,20GHS,2
33510,544680342/,2,20GHS,2
33611,543476056,2,20GHS,2
33712,246024280/,2,20GHS,2
34104,244174507/,2,20GHS,2
34413,245820200/,2,20GHS,2
35010,246824290/,2,20GHS,2
35104,246871035/,2,20GHS,2
35110,241965249/,2,20GHS,2
35414,273466291/,2,20GHS,2
35508,540552231/,2,20GHS,2
36315,249269246,2,20GHS,2
36506,543310272/,2,20GHS,2
36513,204907782/,2,20GHS,2
36711,540713243/,2,20GHS,2
37202,541237887/,2,20GHS,2
37701,245166115/,2,20GHS,2
38109,248359947/,2,20GHS,2
38303,245483008/,2,20GHS,2
38307,241184941/,2,20GHS,2
38402,247585039/,2,20GHS,2
38807,247757977/,2,20GHS,2
39412,244168386/,2,20GHS,2
39703,248198020/,2,20GHS,2
39908,541379790/,2,20GHS,2
40004,240826187/,2,20GHS,2
40008,241134824/,2,20GHS,2
40708,243631527/,2,20GHS,2
41313,244246886/,2,20GHS,2
41811,273182327/,2,20GHS,2
42015,200500358/,2,20GHS,2
