caseidx,PhoneNumber,Trt,MobileCredit
202,PII,1,40GHS
1014,PII,1,40GHS
1315,PII,1,40GHS
1511,PII,1,40GHS
2215,PII,1,40GHS
2314,PII,1,40GHS
2612,PII,1,40GHS
2707,PII,1,40GHS
2906,PII,1,40GHS
3111,PII,1,40GHS
3705,PII,1,40GHS
3913,PII,1,40GHS
4207,PII,1,40GHS
4209,PII,1,40GHS
4907,PII,1,40GHS
5609,PII,1,40GHS
5708,PII,1,40GHS
6115,PII,1,40GHS
6204,PII,1,40GHS
6607,PII,1,40GHS
6614,PII,1,40GHS
6914,PII,1,40GHS
7201,PII,1,40GHS
7205,PII,1,40GHS
7510,PII,1,40GHS
8104,PII,1,40GHS
8304,PII,1,40GHS
8507,PII,1,40GHS
9909,PII,1,40GHS
10606,PII,1,40GHS
10607,PII,1,40GHS
10706,PII,1,40GHS
10805,PII,1,40GHS
11003,PII,1,40GHS
11007,PII,1,40GHS
11104,PII,1,40GHS
11512,PII,1,40GHS
11711,PII,1,40GHS
12002,PII,1,40GHS
12406,PII,1,40GHS
12615,PII,1,40GHS
12813,PII,1,40GHS
13101,PII,1,40GHS
13115,PII,1,40GHS
13313,PII,1,40GHS
13412,PII,1,40GHS
13513,PII,1,40GHS
13614,PII,1,40GHS
13708,PII,1,40GHS
14001,PII,1,40GHS
14002,PII,1,40GHS
14103,PII,1,40GHS
14403,PII,1,40GHS
14702,PII,1,40GHS
15204,PII,1,40GHS
15301,PII,1,40GHS
15612,PII,1,40GHS
15706,PII,1,40GHS
15710,PII,1,40GHS
15914,PII,1,40GHS
16301,PII,1,40GHS
16312,PII,1,40GHS
16414,PII,1,40GHS
16914,PII,1,40GHS
17113,PII,1,40GHS
17514,PII,1,40GHS
17605,PII,1,40GHS
17608,PII,1,40GHS
17611,PII,1,40GHS
18014,PII,1,40GHS
18608,PII,1,40GHS
18714,PII,1,40GHS
19002,PII,1,40GHS
19303,PII,1,40GHS
19310,PII,1,40GHS
19404,PII,1,40GHS
19505,PII,1,40GHS
19601,PII,1,40GHS
21411,PII,1,40GHS
21603,PII,1,40GHS
21609,PII,1,40GHS
21905,PII,1,40GHS
22115,PII,1,40GHS
22215,PII,1,40GHS
22809,PII,1,40GHS
23414,PII,1,40GHS
23702,PII,1,40GHS
23909,PII,1,40GHS
24507,PII,1,40GHS
24612,PII,1,40GHS
24714,PII,1,40GHS
25215,PII,1,40GHS
25304,PII,1,40GHS
25511,PII,1,40GHS
25603,PII,1,40GHS
25915,PII,1,40GHS
26113,PII,1,40GHS
26309,PII,1,40GHS
26313,PII,1,40GHS
26414,PII,1,40GHS
26610,PII,1,40GHS
26908,PII,1,40GHS
27014,PII,1,40GHS
27113,PII,1,40GHS
27507,PII,1,40GHS
28007,PII,1,40GHS
28012,PII,1,40GHS
28611,PII,1,40GHS
28805,PII,1,40GHS
29501,PII,1,40GHS
29514,PII,1,40GHS
29705,PII,1,40GHS
30013,PII,1,40GHS
30107,PII,1,40GHS
30204,PII,1,40GHS
30403,PII,1,40GHS
30509,PII,1,40GHS
30806,PII,1,40GHS
30808,PII,1,40GHS
30901,PII,1,40GHS
31115,PII,1,40GHS
31302,PII,1,40GHS
31311,PII,1,40GHS
31408,PII,1,40GHS
31907,PII,1,40GHS
31908,PII,1,40GHS
32002,PII,1,40GHS
32206,PII,1,40GHS
32304,PII,1,40GHS
32501,PII,1,40GHS
32504,PII,1,40GHS
32605,PII,1,40GHS
32614,PII,1,40GHS
32706,PII,1,40GHS
32904,PII,1,40GHS
33014,PII,1,40GHS
33108,PII,1,40GHS
33201,PII,1,40GHS
33210,PII,1,40GHS
33410,PII,1,40GHS
33803,PII,1,40GHS
33805,PII,1,40GHS
33813,PII,1,40GHS
34705,PII,1,40GHS
34709,PII,1,40GHS
35306,PII,1,40GHS
35410,PII,1,40GHS
35505,PII,1,40GHS
35808,PII,1,40GHS
36514,PII,1,40GHS
37108,PII,1,40GHS
37112,PII,1,40GHS
38110,PII,1,40GHS
38207,PII,1,40GHS
38507,PII,1,40GHS
38804,PII,1,40GHS
39415,PII,1,40GHS
39504,PII,1,40GHS
39711,PII,1,40GHS
40412,PII,1,40GHS
40505,PII,1,40GHS
40606,PII,1,40GHS
40709,PII,1,40GHS
41509,PII,1,40GHS
41708,PII,1,40GHS
41802,PII,1,40GHS
42205,PII,1,40GHS
42301,PII,1,40GHS
43301,PII,1,40GHS
43314,PII,1,40GHS
43402,PII,1,40GHS
43411,PII,1,40GHS
43603,PII,1,40GHS
44008,PII,1,40GHS
44014,PII,1,40GHS
44404,PII,1,40GHS
44409,PII,1,40GHS
45001,PII,1,40GHS
45208,PII,1,40GHS
45307,PII,1,40GHS
45512,PII,1,40GHS
46010,PII,1,40GHS
46503,PII,1,40GHS
46807,PII,1,40GHS
47303,PII,1,40GHS
47401,PII,1,40GHS
47615,PII,1,40GHS
47906,PII,1,40GHS
48303,PII,1,40GHS
48907,PII,1,40GHS
49615,PII,1,40GHS
49808,PII,1,40GHS
