caseidx,PhoneNumber,Trt,MobileCredit
202,248539764,1,40GHS
1014,205889711,1,40GHS
1315,246433345/,1,40GHS
1511,248784705/,1,40GHS
2215,573584490/,1,40GHS
2314,201935344,1,40GHS
2612,277357797,1,40GHS
2707,241748576/,1,40GHS
2906,275571099/,1,40GHS
3111,243636880,1,40GHS
3705,240149860/,1,40GHS
3913,244071706,1,40GHS
4207,541461381/,1,40GHS
4209,547959051/,1,40GHS
4907,543809294/,1,40GHS
5609,245869146/,1,40GHS
5708,241606007/,1,40GHS
6115,244417200/,1,40GHS
6204,504787556/,1,40GHS
6607,506873517/,1,40GHS
6614,241288530/,1,40GHS
6914,203930164/,1,40GHS
7201,242749541/,1,40GHS
7205,248612654/,1,40GHS
7510,556218696/,1,40GHS
8104,549378512/,1,40GHS
8304,208022053/,1,40GHS
8507,243317545/,1,40GHS
9909,241996815/,1,40GHS
10606,544352426/,1,40GHS
10607,547952830/,1,40GHS
10706,545407037/,1,40GHS
10805,244052897/,1,40GHS
11003,244183018,1,40GHS
11007,248024755,1,40GHS
11104,248306089/,1,40GHS
11512,241047064,1,40GHS
11711,242586755/,1,40GHS
12002,555395998/,1,40GHS
12406,544023510,1,40GHS
12615,244029167/,1,40GHS
12813,547761459/,1,40GHS
13101,243522595/,1,40GHS
13115,241642604,1,40GHS
13313,542763662/,1,40GHS
13412,243073450/,1,40GHS
13513,556254935/,1,40GHS
13614,243728769/,1,40GHS
13708,247788078/,1,40GHS
14001,242824094,1,40GHS
14002,242217076/,1,40GHS
14103,247618520/,1,40GHS
14403,547100442/,1,40GHS
14702,241259903/,1,40GHS
15204,247116073/,1,40GHS
15301,265551376/,1,40GHS
15612,249788389/,1,40GHS
15706,541681211/,1,40GHS
15710,546481053/,1,40GHS
15914,243203939/,1,40GHS
16301,544554472/,1,40GHS
16312,246652043/,1,40GHS
16414,547751700/,1,40GHS
16914,546194839/,1,40GHS
17113,542907509/,1,40GHS
17514,248409679/,1,40GHS
17605,553605084/,1,40GHS
17608,553082525/,1,40GHS
17611,540315207/,1,40GHS
18014,542550653/,1,40GHS
18608,241894411/,1,40GHS
18714,241229654/,1,40GHS
19002,241657028/,1,40GHS
19303,557203167/,1,40GHS
19310,548250579/,1,40GHS
19404,546245909,1,40GHS
19505,244758696/,1,40GHS
19601,244649590/,1,40GHS
21411,246738394/,1,40GHS
21603,245301512/,1,40GHS
21609,277099955/,1,40GHS
21905,244068872/,1,40GHS
22115,571050538/,1,40GHS
22215,243121995/,1,40GHS
22809,243945984/,1,40GHS
23414,243924778/,1,40GHS
23702,244745375/,1,40GHS
23909,242088612/,1,40GHS
24507,277306444/,1,40GHS
24612,243752607/,1,40GHS
24714,243875631,1,40GHS
25215,249529534/,1,40GHS
25304,547896295/,1,40GHS
25511,247779587,1,40GHS
25603,542031373,1,40GHS
25915,548080073/,1,40GHS
26113,547514368/,1,40GHS
26309,243561189/,1,40GHS
26313,244108384/,1,40GHS
26414,245249452/,1,40GHS
26610,277807336/,1,40GHS
26908,245863099/,1,40GHS
27014,243049285/,1,40GHS
27113,242166967,1,40GHS
27507,244923712/,1,40GHS
28007,275136278/,1,40GHS
28012,548246717/,1,40GHS
28611,244671906/,1,40GHS
28805,576019064/,1,40GHS
29501,243927801/,1,40GHS
29514,243480248,1,40GHS
29705,243241938/,1,40GHS
30013,242407655/,1,40GHS
30107,246411487,1,40GHS
30204,248191402/,1,40GHS
30403,241425294/,1,40GHS
30509,249086124/,1,40GHS
30806,244951366/,1,40GHS
30808,248756650/,1,40GHS
30901,249161135,1,40GHS
31115,245937394/,1,40GHS
31302,548661897,1,40GHS
31311,249415759/,1,40GHS
31408,246050053/,1,40GHS
31907,270220919/,1,40GHS
31908,554583562/,1,40GHS
32002,243426709/,1,40GHS
32206,209415914/,1,40GHS
32304,248839025/,1,40GHS
32501,209040157/,1,40GHS
32504,206954461/,1,40GHS
32605,546956277/,1,40GHS
32614,249813665/,1,40GHS
32706,248567070/,1,40GHS
32904,241029407/,1,40GHS
33014,542777399/,1,40GHS
33108,242983856/,1,40GHS
33201,240526560,1,40GHS
33210,249425005/,1,40GHS
33410,246115212/,1,40GHS
33803,542956630/,1,40GHS
33805,249453504/,1,40GHS
33813,245438805/,1,40GHS
34705,541283101/,1,40GHS
34709,553876538/,1,40GHS
