caseidx,i11,caseidX,regionX,districtX,pov_likelihood,motherTogether,noReligion,female,spouseTogether,ageMarried,needToCOVID,unableToCOVID,unableCall7days,unableTrans7days,ct1a0,ct1b0,ct2a0,ct2b0,totExp7days,threatenPartner,hitPartner,logk10,severe_distress,tiredCOVID,awareofCOVID0,trustgovtCOVIDNos0,m110,m120,m130,m140,bd10,bd20,bd30,female0,akan0,married0,ageYrs0,jhs0,hhsize0,selfEmploy0,informal0,incomegrp0,self_hseWork0,Trt
102,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",102,Western,101,29,0,0,0,1,25,1,0,0,0,10,5,0,0,133,1,1,2.4849067,0,0,1,3,1,5,5,4,,,,0,1,0,53,1,6,1,1,1,0,0
202,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",202,Western,101,0,0,0,0,1,29,1,1,1,0,20,8,0,0,120,1,1,3.2188759,0,1,1,2,1,4,4,3,,,,0,1,1,45,1,8,0,0,1,0,1
406,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",406,Western,103,4.3000002,0,0,0,1,25,1,1,1,1,18,10,0,0,74,1,1,3.2580965,0,1,1,4,2,3,1,1,,,,0,0,1,48,0,3,1,1,2,0,2
411,Other specify,411,Western,103,2.2,0,0,0,1,25,0,0,0,0,0,0,0,0,0,1,1,2.3025851,0,0,1,4,1,1,1,1,,,,0,1,1,61,1,7,1,1,4,0,0
814,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",814,Western,105,.80000001,0,0,0,1,35,0,0,0,0,10,15,0,0,250,1,1,2.3025851,0,0,1,3,1,5,5,4,,,,0,1,1,42,1,6,1,1,4,0,0
903,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",903,Western,105,7.1999998,0,0,0,1,30,1,1,1,1,7,10,10,20,385,1,1,2.7725887,0,1,1,4,2,3,3,3,,,,0,1,1,60,1,9,1,1,2,0,0
1014,Other specify,1014,Western,105,.80000001,0,0,0,1,30,0,0,1,1,5,15,0,0,115,1,1,2.3025851,0,1,1,2,1,1,1,1,,,,0,0,1,48,0,6,1,1,2,0,1
1114,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",1114,Western,105,1.1,0,0,0,1,22,0,0,0,0,12,5,0,0,100,2,2,2.5649493,0,0,1,3,1,1,2,2,,,,0,0,1,34,1,5,1,1,2,0,0
1315,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",1315,Western,105,2.2,0,0,1,0,25,0,0,1,1,49,10,0,0,315,1,1,2.8332133,0,1,1,4,1,3,3,2,,,,1,1,1,34,1,4,1,1,1,1,1
1511,"Health[i.e., being infected with COVID19 to affect you physically, mentally and socially]",1511,Western,105,19.6,0,0,0,1,27,1,1,1,1,2,300,6,7,1400,2,1,2.8332133,0,1,1,2,2,1,1,4,,,,0,1,1,35,1,3,1,1,2,1,1
1606,,1606,Western,105,.30000001,0,0,0,1,25,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,1,,0,0,,,2
