		(1)	(2)	(3)	(4)	(5)
		Total (GHS)				
VARIABLES	LABELS	Expenditure	Threatened Partner 1-4	Hit Partner 1-4	log K10	Severe Distress 0-1
						
tmt01	Lumpsum Credit ($\beta_1$)	10.60	-0.0432	-0.0195	-0.0584***	0.0121
		(11.35)	(0.0374)	(0.0372)	(0.0144)	(0.00843)
tmt02	Installments Credit ($\beta_2$)	17.76	-0.121***	-0.0793**	-0.141***	-0.0227***
		(11.82)	(0.0399)	(0.0383)	(0.0142)	(0.00609)
						
Observations		2,019	2,019	2,019	2,019	2,019
Number of groups		0	0	0	0	0
District FE		Yes	Yes	Yes	Yes	Yes
Date FE		Yes	Yes	Yes	Yes	Yes
Controls		PD LASSO	PD LASSO	PD LASSO	PD LASSO	PD LASSO
Mean of dep. variable		219.573	1.247	1.166	2.704	0.025
p-value for test: $\beta_1$ = $\beta_2$		0.314	0.010	0.101	0.000	0.000
Lee 2009 Attrition Bounds $\beta_1$		[-18.916; 16.809]	[-0.084; 0.031]	[-0.080; 0.035]	[-0.022; 0.009]	[-0.011; 0.028]
Lee 2009 Attrition Bounds $\beta_2$		[-15.773; 7.861]	[-0.171; -0.087]	[-0.137; -0.053]	[-0.134; -0.120]	[-0.033; -0.031]
Imbens-Manski 2004 CS $\beta_1$		[-33.491; 30.054]	[-0.117; 0.073]	[-0.112; 0.076]	[-0.045; 0.027]	[-0.031; 0.039]
Imbens-Manski 2004 CS $\beta_2$		[-32.234; 21.343]	[-0.254; -0.046]	[-0.220; -0.012]	[-0.154; -0.103]	[-0.040; -0.024]
p-value: Romano-Wolf Correction $\beta_1$		0.525	0.525	0.980	0.010	0.238
p-value: Romano-Wolf Correction $\beta_2$		0.386	0.020	0.257	0.010	0.020
